Community_ID,Total_Words,Top_15_Core_Words,All_Words,Conductance,Num_Words,C_v_Score
1,101,سال | خشکسالی | باران | سیل | اقلیم | بارش | دروغ | سرزمین | دشمن | بلا | درگیر | زلزله | بارندگی | فصل | گرما,"سال, خشکسالی, باران, سیل, اقلیم, بارش, دروغ, سرزمین, دشمن, بلا, درگیر, زلزله, بارندگی, فصل, گرما, خسارت, تابستان, برف, هوایی, زمستان, جبران, سابقه, درجه, دعا, دما, سنگین, بهار, گرمایش, درصدی, نشانه, هرسال, خاورمیانه, سرما, ارزو, پاییز, ترسالی, متوسط, اوج, تنش, نرمال, بیداد, تحلیل, بارید, درمی, بهمن, نعمت, عید, برکت, هدایت, پنجاه, چندسال, رحمت, خلق, فراوان, جشن, بعلت, شر, خرد, برطرف, اسفند, سرسبز, خرابه, کارا, میدانیم, یخ, همینطوری, دجله, بنظر, خرم, ماهه, پیشه, فرات, نمیتوانیم, کوروش, مبارک, وام, دانشمند, زراعت, لازمه, میبارد, سعید, دوسال, کوهستان, سرمون, اتحادیه, پیروزی, پذیرفت, کودکی, بازه, لشکر, دیو, عجیبه, بلایا, تایم, مگراینکه, ال, امین, میگفتم, اهورامزدا, نم, کارواش",11.9447,101.0,0.3564
10,123,زیست | محیط | سازمان | فعال | بوم | حفاظت | گزارش | مدیر | اقدام | کارشناس | تصویر | محیطی | رسانه | بررسی | اجتماعی,"زیست, محیط, سازمان, فعال, بوم, حفاظت, گزارش, مدیر, اقدام, کارشناس, تصویر, محیطی, رسانه, بررسی, اجتماعی, عمومی, حضور, اطلاع, المللی, منتشر, رابطه, شبکه, توضیح, مقابله, بشر, نهاد, اطلاعات, متخصص, تلف, انتشار, دانش, توله, مدنی, خبرنگار, مبارزه, ارائه, گفتگو, دقیق, همکاری, واکنش, ارتباط, نمود, تایید, یوز, ویدیو, سواد, تنوع, رسمی, مخرب, شناخت, روزنامه, دفتر, خبرگزاری, معرفی, باهدف, نظارت, معلم, یوزپلنگ, سمنان, مجموعه, تخصصی, قهوه, چالش, درویش, ویدئو, ماهواره, فنی, چپ, پیامد, بهبود, متن, برگزاری, ارسال, تولد, استاندارد, تکثیر, لینک, توافق, جایگاه, شناس, موسسه, کاوه, بنیان, فناوری, مشارکت, منصور, بازگشت, دعوت, کنشگر, پژوهشگر, مراسم, تخصص, ناصر, مرتبط, مخاطب, دلسوز, ارزیاب, کرمی, سلاجقه, مریوان, نیک, وزن, نگار, همکار, مسعود, سهراب, وکیل, مستقل, دوستدار, نمایش, فضایی, دانشجو, تاسف, کاربر, ازمایش, معتقد, پزشک, متولد, تشخیص, متحد, حرفه, بهزیست, جاسوس",9.438,123.0,0.3532
2,34,مشکل | مسئول | بحث | مسئله | اشتباه | نمیشود | صحبت | غلط | ریشه | انتخاب | دغدغه | برادر | کوتاه | رسیدگی | مطرح,"مشکل, مسئول, بحث, مسئله, اشتباه, نمیشود, صحبت, غلط, ریشه, انتخاب, دغدغه, برادر, کوتاه, رسیدگی, مطرح, فرض, چاره, نفع, تدبیر, اختلاف, فایده, کفت, بزرگوار, مدیریتی, پیچیده, انگیزه, اثبات, مربوطه, گره, مسوول, لیاقت, بتونه, منتها, گزینه",9.2437,34.0,0.3529
13,20,کشاورزی | روستا | باغ | محصول | اهل | دام | علف | مزرعه | جهاد | سنتی | خوراک | رسانید | دامدار | مدرن | دیم,"کشاورزی, روستا, باغ, محصول, اهل, دام, علف, مزرعه, جهاد, سنتی, خوراک, رسانید, دامدار, مدرن, دیم, دامداری, شیوه, بها, هرروز, نمیگذارد",10.3169,20.0,0.3381
14,110,منبع | طبیعی | ملی | تخریب | نفت | توسعه | گاز | فرهنگ | حفظ | ذخیره | فروش | معدن | سرمایه | ارزش | درامد,"منبع, طبیعی, ملی, تخریب, نفت, توسعه, گاز, فرهنگ, حفظ, ذخیره, فروش, معدن, سرمایه, ارزش, درامد, بهره, هکتار, ارض, غارت, محلی, سند, حاصل, سنگ, رفع, مرتع, ابخیزداری, منفعت, خرج, سود, فرصت, ثروت, گردشگری, ثبت, عظیم, تمدن, مانع, رفاه, محدود, حریم, میراث, ملک, تصرف, متعلق, پیشرفت, پایدار, ویلا, اختیار, حاکمیت, جیب, توزیع, خصوصی, عرصه, هدر, غنی, استخراج, طلا, کاربری, تقسیم, زیرساخت, اشتغال, هویت, جغرافیا, نخبه, تاراج, طبقه, بدست, ضعف, مالک, خروج, قرارداد, رایگان, ثروتمند, استراتژیک, زراعی, پیشگیری, تکنولوژی, کسب, مشترک, موقعیت, ارزشمند, مدرک, جغرافیایی, فهم, کمترن, قطعه, کارمند, تبعیض, ارزان, تجارت, هنر, مالکیت, متولی, بنام, ساختار, برتر, افرین, تکلیف, مفهوم, مس, سومین, پنجم, مبنا, دستاورد, جاذبه, گازی, غار, مسافر, پیشرفته, هوش, مردمه",9.1036,110.0,0.33
16,66,جان | کشت | نیرو | قانون | محیطب | وزارت | امنیت | اجازه | دفاع | غیرمجاز | اصلاح | شکارچی | منجر | حادثه | تیر,"جان, کشت, نیرو, قانون, محیطب, وزارت, امنیت, اجازه, دفاع, غیرمجاز, اصلاح, شکارچی, منجر, حادثه, تیر, حکم, وظیفه, مامور, مستقیم, شلیک, انتظامی, ثابت, پلیس, درگیری, شغل, فرمانده, رعایت, قضایی, خدمت, محیطبان, جایگزین, شناسایی, زخمی, تابعه, راحتی, مطمئن, فرماندار, الگو, دره, نمست, دادگاه, کشف, دستگیر, تفنگ, برابری, باخت, پاسخگو, خشونت, رضا, متهم, سرباز, تیراندازی, تخلف, متخلف, مسلح, محکوم, ضرب, جسد, قاضی, خلاص, محیطبانها, مجازات, امیر, رضایت, نوش, قصاص",7.3815,66.0,0.3073
7,63,مدیریت | پسماند | تولید | هزینه | شرکت | شهرداری | زباله | برق | شکل | شهری | محل | تن | فاضلاب | انرژی | سو,"مدیریت, پسماند, تولید, هزینه, شرکت, شهرداری, زباله, برق, شکل, شهری, محل, تن, فاضلاب, انرژی, سو, سیستم, عوض, واحد, کارگر, نیروگاه, هسته, فعلی, قطعی, دریافت, میوه, دسترسی, صفر, نقل, صحیح, سایت, حمل, عارضه, نشدن, مخزن, دفن, میتوانید, تحویل, سمی, پذیر, سطل, مدیرعامل, انفجار, شهردار, سبک, ظرف, اتمی, دانی, بازیافت, سبزی, توانایی, صرفه, کیسه, کود, شیمیایی, پیمانکار, دفع, تفکیک, خورشیدی, نصب, وب, سراو, برقی, پلاستیک",7.9029,63.0,0.2981
3,303,قحطی | جنگ | ایرانی | ملت | مرگ | اقتصاد | دوره | فقر | گرسنه | مملکت | کمبود | نان | بیماری | تاریخ | زنده,"قحطی, جنگ, ایرانی, ملت, مرگ, اقتصاد, دوره, فقر, گرسنه, مملکت, کمبود, نان, بیماری, تاریخ, زنده, بدن, حساب, بدبخت, کرونا, درد, کش, نسل, خانواده, گندم, تومان, تورم, داستان, دزد, مصنوعی, جوان, قدرت, کتاب, نصف, مجبور, فشار, بازار, باور, تجربه, خواب, دلار, مرده, ترس, الله, حذف, روغن, بیکاری, داخلی, فساد, واکسن, اشغال, خارجی, عادی, همسایه, شکست, عمر, حاکم, وحشتناک, ازد, اماده, ظلم, تعریف, منتظر, کالا, مغز, اساسی, قاچاق, دهان, قرن, میلیونها, طولانی, تکرار, دارو, ضعیف, فراموش, شکر, فلاکت, نداشتن, دی, اولیه, ارد, صف, رنج, المان, نمیشد, تخم, دانه, رحم, وعده, واردات, هجوم, لباس, رقم, تصور, عادت, لعنت, بوجود, ارز, انبار, خیانت, مظلوم, شرف, تحمل, سیر, ارامش, عام, زور, دیوار, عرضه, نمیتوانند, عدالت, گرفتار, مفت, مسخره, روایت, تجاوز, بنزین, فروشگاه, بخدا, ویرانی, خیال, یارانه, بیدار, ساختگی, معیشت, نیومده, قلم, ازدواج, قاجار, کارت, له, تقاضا, شکم, عذاب, احتکار, خور, صبر, جنگی, اختلاس, وبا, نظم, مزدور, قشر, نو, توهم, شریف, مقاومت, قوی, ویروس, ماندن, میزدند, میلیونی, تلفات, مغازه, سریال, شوخی, کر, حرام, مذاکره, اواره, یارو, ومیر, مرض, ماکارونی, ریدم, پیر, میزنیم, ترجیح, ماله, امن, فاسد, رفیق, استرس, باند, بیشرف, توقع, جیره, گور, خوراکی, روانی, افغان, قسم, میزد, فروپاشی, غله, مزخرف, کوفت, ظهور, کرم, بیکار, جهنم, اجاره, لابد, وا, بانی, میمیرند, بیگانه, اعتقاد, بهداد, طاعون, میخوردند, ایت, نکبت, شلوغ, طالب, ترسید, گوجه, سهمیه, شیوع, حرومزاده, مریضی, شورش, مغول, خریدن, بگا, فامیل, خبره, نمیکنیم, محاصره, شخصیت, سوراخ, ترسناک, سرویس, تل, غیرت, طمع, پدری, بخور, کاره, تحصیل, خودکشی, خوند, دستمال, راهه, میکرده, اروپایی, رکود, جنسی, شانس, کوی, لقمه, بتونن, پیرمرد, ایشالا, قحطیها, چاپ, رمضان, جنایت, یوسف, زر, مردک, اولی, ادب, قبر, میخرند, کاغذ, بمیرند, بیل, کیلویی, کاسه, پدربزرگ, قران, رویا, ملخ, نوین, خواندن, زمانه, میخورید, ابرو, میل, نخور, میرفتند, دروغگو, تبریک, توالت, میز, اعصاب, خوری, ارباب, استالین, جذاب, حسرت, چربی, نمیخورد, شوروی, میخوری, اخرالزمان, چاق, پاندم, کفش, سره, شام, اذوقه, ملکه, مادربزرگ, میکردی, سفارش, بخرم, سکس, لاغر, بازیکن, شایدم, شیرینی, کراش",,,
4,11,متوجه | خراب | معنا | باقی | عرض | کلمه | جستجو | زحمت | نمیماند | میشید | واژه,"متوجه, خراب, معنا, باقی, عرض, کلمه, جستجو, زحمت, نمیماند, میشید, واژه",,,
9,241,سگ | حیوان | ولگرد | حمایت | غذا | جمعیت | طبیعت | کمک | حمله | جامعه | خیابان | کشتار | حیات | کنترل | توییت,"سگ, حیوان, ولگرد, حمایت, غذا, جمعیت, طبیعت, کمک, حمله, جامعه, خیابان, کشتار, حیات, کنترل, توییت, خانم, گوشت, گربه, فرق, اکوسیستم, وحش, احساس, قبول, صاحب, پرنده, شکار, انقراض, زاد, وحشی, عقیم, هار, درک, پارک, رفتار, قضیه, رها, معضل, ادعا, جانور, اموزش, خانگی, نظرم, منو, رسانی, نکردن, گله, عقل, کوچه, نمیکند, چرخه, فکری, پلنگ, نگه, جماعت, مسئولیت, قربانی, بیچاره, مخالف, خر, سرپرست, گند, زنگ, گوسفند, درستی, گاو, تکه, پیشنهاد, تفکر, خرس, انجمن, ول, ممنون, لطف, قلاده, پست, ضرر, ناراحت, زیستگاه, پناهگاه, فاز, احترام, توهین, توییتر, فراهم, جرم, دخالت, حماقت, تعادل, نمیکنم, اینکار, منطق, نیازمند, کمپین, میبیند, محله, اینستاگرام, موش, گرگ, پناه, شعور, مدعی, شکایت, پرت, دوستی, منقرض, کله, فردیت, تبلیغ, اسمش, ولد, مفید, طرفدار, میدانم, بقا, حیوانی, محافظت, شماره, مراقبت, میدهید, هرچیزی, اهلی, خیابانها, ازار, چرت, بیسواد, بیشتره, روباه, محبت, میزنم, نما, نمیکنید, ندادن, مهاجم, احمقانه, خواهش, طرز, جریمه, تماس, ون, حشره, جالبه, هرک, نمیداند, ازدیاد, پارس, زنجیره, خیلیا, ببر, اذیت, بز, حواس, اهو, استوری, کارش, نمیدانند, اشتباهه, میدید, نمیشوند, زبون, خواهر, نگهبان, دستکاری, کباب, نمیخواهد, جنده, نفهم, چهارتا, مریض, موافقم, معدوم, هرکدام, راس, مخصوص, صدمه, ساماندهی, قضاوت, ایراد, وجدان, ایده, مهربان, ناموس, اصطلاح, نادر, غذارس, جلوش, استدلال, نوشتن, زیادشدن, ارشاد, بیخیال, بافتن, مدافع, کلیپ, هستین, مهربانی, سریعتر, ادا, هاتون, تربیت, اخلاقی, اوک, گا, نمیتوانی, تزریق, استخوان, بانگ, حیاط, تشکر, الاغ, پاچه, اخلاق, نمیتوانم, جوجه, دوزاری, قربان, مار, مراقب, عقده, کمیاب, گوسال, میندازن, فرشته, سرشون, فراری, دندان, کسخل, ریدن, پرست, میگذارم, هرکسی, خایه, ولش, میزدم, غول, اسیر, میگیری, اکانت, میترسم, خاله, توکیو, انیماست",,,
11,5,فضا | سبز | واقعیت | مجازی | نقد,"فضا, سبز, واقعیت, مجازی, نقد",,,
17,11,دلیل | اصل | عامل | مهمتر | تشکیل | نبودن | راهکار | نادرست | ویکی | دلیلش | نادیده,"دلیل, اصل, عامل, مهمتر, تشکیل, نبودن, راهکار, نادرست, ویکی, دلیلش, نادیده",,,
19,14,غرب | جنوب | شمال | شرق | نگران | شاهد | سیستان | بلوچستان | مطلب | ناحیه | رساند | قطب | حیاتی | ارتباطی,"غرب, جنوب, شمال, شرق, نگران, شاهد, سیستان, بلوچستان, مطلب, ناحیه, رساند, قطب, حیاتی, ارتباطی",,,
21,11,جواب | سوال | جالب | قسمت | نکته | معلوم | نمیدهد | پاسخ | مدل | ذکر | ساکت,"جواب, سوال, جالب, قسمت, نکته, معلوم, نمیدهد, پاسخ, مدل, ذکر, ساکت",,,
